"Order","Family","common_name","sci_name","status"
"GALLIFORMES","Phasianidae","Rock Ptarmigan","Lagopus muta",NA
"GALLIFORMES","Phasianidae","Spruce Grouse","Canachites canadensis",NA
"GALLIFORMES","Phasianidae","Gray Partridge","Perdix perdix","Introduced species"
"GALLIFORMES","Phasianidae","Ring-necked Pheasant","Phasianus colchicus","Introduced species"
"GALLIFORMES","Phasianidae","Green Pheasant","Phasianus versicolor","Extirpated"
"GALLIFORMES","Phasianidae","Silver Pheasant","Lophura nycthemera","Introduced species"
"GALLIFORMES","Phasianidae","Chukar","Alectoris chukar","Introduced species"
"COLUMBIFORMES","Columbidae","Rock Pigeon","Columba livia","Introduced species"
"COLUMBIFORMES","Columbidae","Band-tailed Pigeon","Patagioenas fasciata",NA
"COLUMBIFORMES","Columbidae","Passenger Pigeon","Ectopistes migratorius","Rare/Accidental Extinct"
"COLUMBIFORMES","Columbidae","Oriental Turtle-Dove","Streptopelia orientalis","Rare/Accidental"
"COLUMBIFORMES","Columbidae","Eurasian Collared-Dove","Streptopelia decaocto","Introduced species"
"COLUMBIFORMES","Columbidae","White-winged Dove","Zenaida asiatica","Rare/Accidental"
"COLUMBIFORMES","Columbidae","Mourning Dove","Zenaida macroura",NA
"CUCULIFORMES","Cuculidae","Yellow-billed Cuckoo","Coccyzus americanus","Rare/Accidental"
"CUCULIFORMES","Cuculidae","Black-billed Cuckoo","Coccyzus erythropthalmus","Rare/Accidental"
"CUCULIFORMES","Cuculidae","Common Cuckoo","Cuculus canorus","Rare/Accidental"
"CAPRIMULGIFORMES","Caprimulgidae","Lesser Nighthawk","Chordeiles acutipennis","Rare/Accidental"
"CAPRIMULGIFORMES","Caprimulgidae","Common Nighthawk","Chordeiles minor",NA
"CAPRIMULGIFORMES","Caprimulgidae","Common Poorwill","Phalaenoptilus nuttallii",NA
"CAPRIMULGIFORMES","Caprimulgidae","Eastern Whip-poor-will","Antrostomus vociferus","Rare/Accidental Near-threatened"
"APODIFORMES","Apodidae","Black Swift","Cypseloides niger","Vulnerable"
"APODIFORMES","Apodidae","Chimney Swift","Chaetura pelagica","Rare/Accidental Vulnerable"
"APODIFORMES","Apodidae","Vaux's Swift","Chaetura vauxi",NA
"APODIFORMES","Apodidae","House Swift","Apus nipalensis","Uncertain origin"
"APODIFORMES","Apodidae","White-throated Swift","Aeronautes saxatalis",NA
"APODIFORMES","Trochilidae","Mexican Violetear","Colibri thalassinus","Rare/Accidental"
"APODIFORMES","Trochilidae","Rivoli's Hummingbird","Eugenes fulgens","Rare/Accidental"
"APODIFORMES","Trochilidae","Ruby-throated Hummingbird","Archilochus colubris","Rare/Accidental"
"APODIFORMES","Trochilidae","Black-chinned Hummingbird","Archilochus alexandri",NA
"APODIFORMES","Trochilidae","Anna's Hummingbird","Calypte anna",NA
"APODIFORMES","Trochilidae","Costa's Hummingbird","Calypte costae","Rare/Accidental"
"APODIFORMES","Trochilidae","Calliope Hummingbird","Selasphorus calliope",NA
"APODIFORMES","Trochilidae","Rufous Hummingbird","Selasphorus rufus","Near-threatened"
"APODIFORMES","Trochilidae","Broad-tailed Hummingbird","Selasphorus platycercus","Rare/Accidental"
"APODIFORMES","Trochilidae","Xantus's Hummingbird","Basilinna xantusii","Rare/Accidental"
"GRUIFORMES","Rallidae","Virginia Rail","Rallus limicola",NA
"GRUIFORMES","Rallidae","Sora","Porzana carolina",NA
"GRUIFORMES","Rallidae","Common Gallinule","Gallinula galeata","Rare/Accidental"
"GRUIFORMES","Rallidae","American Coot","Fulica americana",NA
"GRUIFORMES","Rallidae","Yellow Rail","Coturnicops noveboracensis",NA
"GRUIFORMES","Gruidae","Demoiselle Crane","Anthropoides virgo","Uncertain origin"
"GRUIFORMES","Gruidae","Sandhill Crane","Antigone canadensis",NA
"GRUIFORMES","Gruidae","Common Crane","Grus grus","Rare/Accidental"
"GRUIFORMES","Gruidae","Whooping Crane","Grus americana","Rare/Accidental Endangered"
"CHARADRIIFORMES","Recurvirostridae","Black-necked Stilt","Himantopus mexicanus","Rare/Accidental"
"CHARADRIIFORMES","Recurvirostridae","American Avocet","Recurvirostra americana",NA
"CHARADRIIFORMES","Haematopodidae","Black Oystercatcher","Haematopus bachmani",NA
"CHARADRIIFORMES","Charadriidae","Black-bellied Plover","Pluvialis squatarola","Vulnerable"
"CHARADRIIFORMES","Charadriidae","American Golden-Plover","Pluvialis dominica",NA
"CHARADRIIFORMES","Charadriidae","Pacific Golden-Plover","Pluvialis fulva",NA
"CHARADRIIFORMES","Charadriidae","Eurasian Dotterel","Eudromias morinellus","Rare/Accidental"
"CHARADRIIFORMES","Charadriidae","Killdeer","Charadrius vociferus","Near-threatened"
"CHARADRIIFORMES","Charadriidae","Common Ringed Plover","Charadrius hiaticula","Rare/Accidental"
"CHARADRIIFORMES","Charadriidae","Semipalmated Plover","Charadrius semipalmatus",NA
"CHARADRIIFORMES","Charadriidae","Piping Plover","Charadrius melodus","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Charadriidae","Siberian Sand-Plover","Anarhynchus mongolus","Rare/Accidental Endangered"
"CHARADRIIFORMES","Charadriidae","Mountain Plover","Anarhynchus montanus","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Charadriidae","Snowy Plover","Anarhynchus nivosus","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Upland Sandpiper","Bartramia longicauda",NA
"CHARADRIIFORMES","Scolopacidae","Bristle-thighed Curlew","Numenius tahitiensis","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Whimbrel","Numenius phaeopus","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Long-billed Curlew","Numenius americanus",NA
"CHARADRIIFORMES","Scolopacidae","Far Eastern Curlew","Numenius madagascariensis","Rare/Accidental Endangered"
"CHARADRIIFORMES","Scolopacidae","Bar-tailed Godwit","Limosa lapponica","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Black-tailed Godwit","Limosa limosa","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Hudsonian Godwit","Limosa haemastica","Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Marbled Godwit","Limosa fedoa","Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Short-billed Dowitcher","Limnodromus griseus","Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Long-billed Dowitcher","Limnodromus scolopaceus","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Jack Snipe","Lymnocryptes minimus","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","American Woodcock","Scolopax minor","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Wilson's Snipe","Gallinago delicata",NA
"CHARADRIIFORMES","Scolopacidae","Wilson's Phalarope","Phalaropus tricolor",NA
"CHARADRIIFORMES","Scolopacidae","Red Phalarope","Phalaropus fulicarius",NA
"CHARADRIIFORMES","Scolopacidae","Red-necked Phalarope","Phalaropus lobatus",NA
"CHARADRIIFORMES","Scolopacidae","Terek Sandpiper","Xenus cinereus","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Spotted Sandpiper","Actitis macularius",NA
"CHARADRIIFORMES","Scolopacidae","Solitary Sandpiper","Tringa solitaria",NA
"CHARADRIIFORMES","Scolopacidae","Gray-tailed Tattler","Tringa brevipes","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Wandering Tattler","Tringa incana",NA
"CHARADRIIFORMES","Scolopacidae","Wood Sandpiper","Tringa glareola","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Lesser Yellowlegs","Tringa flavipes","Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Willet","Tringa semipalmata","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Spotted Redshank","Tringa erythropus","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Common Greenshank","Tringa nebularia","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Greater Yellowlegs","Tringa melanoleuca","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Ruddy Turnstone","Arenaria interpres","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Black Turnstone","Arenaria melanocephala",NA
"CHARADRIIFORMES","Scolopacidae","Great Knot","Calidris tenuirostris","Rare/Accidental Endangered"
"CHARADRIIFORMES","Scolopacidae","Red Knot","Calidris canutus","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Surfbird","Calidris virgata",NA
"CHARADRIIFORMES","Scolopacidae","Ruff","Calidris pugnax","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Sharp-tailed Sandpiper","Calidris acuminata","Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Curlew Sandpiper","Calidris ferruginea","Rare/Accidental Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Stilt Sandpiper","Calidris himantopus","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Temminck's Stint","Calidris temminckii","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Red-necked Stint","Calidris ruficollis","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Spoon-billed Sandpiper","Calidris pygmaea","Rare/Accidental Critically endangered"
"CHARADRIIFORMES","Scolopacidae","Buff-breasted Sandpiper","Calidris subruficollis","Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Sanderling","Calidris alba",NA
"CHARADRIIFORMES","Scolopacidae","Dunlin","Calidris alpina","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Purple Sandpiper","Calidris maritima","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","Rock Sandpiper","Calidris ptilocnemis",NA
"CHARADRIIFORMES","Scolopacidae","Baird's Sandpiper","Calidris bairdii",NA
"CHARADRIIFORMES","Scolopacidae","Little Stint","Calidris minuta","Rare/Accidental"
"CHARADRIIFORMES","Scolopacidae","White-rumped Sandpiper","Calidris fuscicollis","Rare/Accidental Vulnerable"
"CHARADRIIFORMES","Scolopacidae","Least Sandpiper","Calidris minutilla","Near-threatened"
"CHARADRIIFORMES","Scolopacidae","Pectoral Sandpiper","Calidris melanotos",NA
"CHARADRIIFORMES","Scolopacidae","Western Sandpiper","Calidris mauri",NA
"CHARADRIIFORMES","Scolopacidae","Semipalmated Sandpiper","Calidris pusilla","Near-threatened"
"CHARADRIIFORMES","Stercorariidae","Long-tailed Jaeger","Stercorarius longicaudus",NA
"CHARADRIIFORMES","Stercorariidae","Parasitic Jaeger","Stercorarius parasiticus","Rare/Accidental"
"CHARADRIIFORMES","Stercorariidae","Pomarine Jaeger","Stercorarius pomarinus",NA
"CHARADRIIFORMES","Stercorariidae","South Polar Skua","Stercorarius maccormicki",NA
"CHARADRIIFORMES","Alcidae","Rhinoceros Auklet","Cerorhinca monocerata",NA
"CHARADRIIFORMES","Alcidae","Tufted Puffin","Fratercula cirrhata",NA
"CHARADRIIFORMES","Alcidae","Horned Puffin","Fratercula corniculata",NA
"CHARADRIIFORMES","Alcidae","Cassin's Auklet","Ptychoramphus aleuticus","Near-threatened"
"CHARADRIIFORMES","Alcidae","Least Auklet","Aethia pusilla","Rare/Accidental"
"CHARADRIIFORMES","Alcidae","Crested Auklet","Aethia cristatella","Rare/Accidental"
"CHARADRIIFORMES","Alcidae","Parakeet Auklet","Aethia psittacula","Rare/Accidental"
"CHARADRIIFORMES","Alcidae","Kittlitz's Murrelet","Brachyramphus brevirostris","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Alcidae","Marbled Murrelet","Brachyramphus marmoratus","Endangered"
"CHARADRIIFORMES","Alcidae","Pigeon Guillemot","Cepphus columba",NA
"CHARADRIIFORMES","Alcidae","Dovekie","Alle alle","Rare/Accidental"
"CHARADRIIFORMES","Alcidae","Thick-billed Murre","Uria lomvia","Rare/Accidental"
"CHARADRIIFORMES","Alcidae","Common Murre","Uria aalge",NA
"CHARADRIIFORMES","Alcidae","Ancient Murrelet","Synthliboramphus antiquus",NA
"CHARADRIIFORMES","Alcidae","Scripps's Murrelet","Synthliboramphus scrippsi","Rare/Accidental Vulnerable"
"CHARADRIIFORMES","Alcidae","Guadalupe Murrelet","Synthliboramphus hypoleucus","Rare/Accidental Endangered"
"CHARADRIIFORMES","Laridae","Little Gull","Hydrocoloeus minutus","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Ross's Gull","Rhodostethia rosea","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Black-legged Kittiwake","Rissa tridactyla","Vulnerable"
"CHARADRIIFORMES","Laridae","Red-legged Kittiwake","Rissa brevirostris","Rare/Accidental Vulnerable"
"CHARADRIIFORMES","Laridae","Ivory Gull","Pagophila eburnea","Rare/Accidental Near-threatened"
"CHARADRIIFORMES","Laridae","Sabine's Gull","Xema sabini",NA
"CHARADRIIFORMES","Laridae","Bonaparte's Gull","Chroicocephalus philadelphia",NA
"CHARADRIIFORMES","Laridae","Black-headed Gull","Chroicocephalus ridibundus","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Laughing Gull","Leucophaeus atricilla","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Franklin's Gull","Leucophaeus pipixcan",NA
"CHARADRIIFORMES","Laridae","Black-tailed Gull","Larus crassirostris","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Heermann's Gull","Larus heermanni","Near-threatened"
"CHARADRIIFORMES","Laridae","Common Gull","Larus canus","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Short-billed Gull","Larus brachyrhynchus",NA
"CHARADRIIFORMES","Laridae","Ring-billed Gull","Larus delawarensis",NA
"CHARADRIIFORMES","Laridae","Western Gull","Larus occidentalis",NA
"CHARADRIIFORMES","Laridae","American Herring Gull","Larus smithsonianus",NA
"CHARADRIIFORMES","Laridae","Vega Gull","Larus vegae","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Great Black-backed Gull","Larus marinus","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Glaucous Gull","Larus hyperboreus",NA
"CHARADRIIFORMES","Laridae","Lesser Black-backed Gull","Larus fuscus","Rare/Accidental"
"CHARADRIIFORMES","Laridae","California Gull","Larus californicus",NA
"CHARADRIIFORMES","Laridae","Glaucous-winged Gull","Larus glaucescens",NA
"CHARADRIIFORMES","Laridae","Slaty-backed Gull","Larus schistisagus","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Iceland Gull","Larus glaucoides",NA
"CHARADRIIFORMES","Laridae","Least Tern","Sternula antillarum","Rare/Accidental"
"CHARADRIIFORMES","Laridae","Caspian Tern","Hydroprogne caspia",NA
"CHARADRIIFORMES","Laridae","Black Tern","Chlidonias niger",NA
"CHARADRIIFORMES","Laridae","Forster's Tern","Sterna forsteri",NA
"CHARADRIIFORMES","Laridae","Arctic Tern","Sterna paradisaea",NA
"CHARADRIIFORMES","Laridae","Common Tern","Sterna hirundo",NA
"CHARADRIIFORMES","Laridae","Elegant Tern","Thalasseus elegans","Rare/Accidental Near-threatened"
"PODICIPEDIFORMES","Podicipedidae","Pied-billed Grebe","Podilymbus podiceps",NA
"PODICIPEDIFORMES","Podicipedidae","Horned Grebe","Podiceps auritus","Vulnerable"
"PODICIPEDIFORMES","Podicipedidae","Red-necked Grebe","Podiceps grisegena",NA
"PODICIPEDIFORMES","Podicipedidae","Eared Grebe","Podiceps nigricollis",NA
"PODICIPEDIFORMES","Podicipedidae","Western Grebe","Aechmophorus occidentalis",NA
"PODICIPEDIFORMES","Podicipedidae","Clark's Grebe","Aechmophorus clarkii",NA
"PHAETHONTIFORMES","Phaethontidae","Red-tailed Tropicbird","Phaethon rubricauda","Rare/Accidental"
"GAVIIFORMES","Gaviidae","Red-throated Loon","Gavia stellata",NA
"GAVIIFORMES","Gaviidae","Arctic Loon","Gavia arctica","Rare/Accidental"
"GAVIIFORMES","Gaviidae","Pacific Loon","Gavia pacifica",NA
"GAVIIFORMES","Gaviidae","Common Loon","Gavia immer",NA
"GAVIIFORMES","Gaviidae","Yellow-billed Loon","Gavia adamsii","Rare/Accidental Near-threatened"
"PROCELLARIIFORMES","Diomedeidae","Laysan Albatross","Phoebastria immutabilis","Near-threatened"
"PROCELLARIIFORMES","Diomedeidae","Black-footed Albatross","Phoebastria nigripes","Near-threatened"
"PROCELLARIIFORMES","Diomedeidae","Short-tailed Albatross","Phoebastria albatrus","Vulnerable"
"PROCELLARIIFORMES","Hydrobatidae","Fork-tailed Storm-Petrel","Hydrobates furcatus",NA
"PROCELLARIIFORMES","Hydrobatidae","Leach's Storm-Petrel","Hydrobates leucorhous","Vulnerable"
"PROCELLARIIFORMES","Procellariidae","Northern Fulmar","Fulmarus glacialis","Rare/Accidental"
"PROCELLARIIFORMES","Procellariidae","Murphy's Petrel","Pterodroma ultima","Rare/Accidental"
"PROCELLARIIFORMES","Procellariidae","Mottled Petrel","Pterodroma inexpectata","Near-threatened"
"PROCELLARIIFORMES","Procellariidae","Hawaiian Petrel","Pterodroma sandwichensis","Rare/Accidental Endangered"
"PROCELLARIIFORMES","Procellariidae","Cook's Petrel","Pterodroma cookii","Rare/Accidental Vulnerable"
"PROCELLARIIFORMES","Procellariidae","Pink-footed Shearwater","Ardenna creatopus","Vulnerable"
"PROCELLARIIFORMES","Procellariidae","Flesh-footed Shearwater","Ardenna carneipes","Near-threatened"
"PROCELLARIIFORMES","Procellariidae","Great Shearwater","Ardenna gravis","Rare/Accidental"
"PROCELLARIIFORMES","Procellariidae","Buller's Shearwater","Ardenna bulleri","Vulnerable"
"PROCELLARIIFORMES","Procellariidae","Sooty Shearwater","Ardenna grisea","Near-threatened"
"PROCELLARIIFORMES","Procellariidae","Short-tailed Shearwater","Ardenna tenuirostris",NA
"PROCELLARIIFORMES","Procellariidae","Manx Shearwater","Puffinus puffinus","Rare/Accidental"
"PROCELLARIIFORMES","Procellariidae","Black-vented Shearwater","Puffinus opisthomelas","Rare/Accidental Near-threatened"
"CICONIIFORMES","Ciconiidae","Wood Stork","Mycteria americana","Rare/Accidental"
"SULIFORMES","Fregatidae","Magnificent Frigatebird","Fregata magnificens","Rare/Accidental"
"SULIFORMES","Sulidae","Red-footed Booby","Sula sula","Rare/Accidental"
"SULIFORMES","Sulidae","Cocos Booby","Sula brewsteri","Rare/Accidental"
"SULIFORMES","Sulidae","Masked Booby","Sula dactylatra","Rare/Accidental"
"SULIFORMES","Sulidae","Nazca Booby","Sula granti","Rare/Accidental"
"SULIFORMES","Sulidae","Blue-footed Booby","Sula nebouxii","Rare/Accidental"
"SULIFORMES","Phalacrocoracidae","Brandt's Cormorant","Urile penicillatus",NA
"SULIFORMES","Phalacrocoracidae","Red-faced Cormorant","Urile urile","Rare/Accidental"
"SULIFORMES","Phalacrocoracidae","Pelagic Cormorant","Urile pelagicus",NA
"SULIFORMES","Phalacrocoracidae","Double-crested Cormorant","Nannopterum auritum",NA
"PELECANIFORMES","Threskiornithidae","White-faced Ibis","Plegadis chihi","Rare/Accidental"
"PELECANIFORMES","Pelecanidae","American White Pelican","Pelecanus erythrorhynchos",NA
"PELECANIFORMES","Pelecanidae","Brown Pelican","Pelecanus occidentalis",NA
"PELECANIFORMES","Ardeidae","American Bittern","Botaurus lentiginosus",NA
"PELECANIFORMES","Ardeidae","Least Bittern","Botaurus exilis","Rare/Accidental"
"PELECANIFORMES","Ardeidae","Black-crowned Night Heron","Nycticorax nycticorax",NA
"PELECANIFORMES","Ardeidae","Little Blue Heron","Egretta caerulea","Rare/Accidental"
"PELECANIFORMES","Ardeidae","Tricolored Heron","Egretta tricolor","Rare/Accidental"
"PELECANIFORMES","Ardeidae","Snowy Egret","Egretta thula","Rare/Accidental"
"PELECANIFORMES","Ardeidae","Green Heron","Butorides virescens",NA
"PELECANIFORMES","Ardeidae","Western Cattle-Egret","Ardea ibis",NA
"PELECANIFORMES","Ardeidae","Great Egret","Ardea alba",NA
"PELECANIFORMES","Ardeidae","Great Blue Heron","Ardea herodias",NA
"CATHARTIFORMES","Cathartidae","California Condor","Gymnogyps californianus","Extirpated Critically endangered"
"CATHARTIFORMES","Cathartidae","Black Vulture","Coragyps atratus","Rare/Accidental"
"CATHARTIFORMES","Cathartidae","Turkey Vulture","Cathartes aura",NA
"ACCIPITRIFORMES","Pandionidae","Osprey","Pandion haliaetus",NA
"ACCIPITRIFORMES","Accipitridae","White-tailed Kite","Elanus leucurus","Rare/Accidental"
"ACCIPITRIFORMES","Accipitridae","Golden Eagle","Aquila chrysaetos",NA
"ACCIPITRIFORMES","Accipitridae","Sharp-shinned Hawk","Accipiter striatus",NA
"ACCIPITRIFORMES","Accipitridae","Cooper's Hawk","Astur cooperii",NA
"ACCIPITRIFORMES","Accipitridae","American Goshawk","Astur atricapillus",NA
"ACCIPITRIFORMES","Accipitridae","Northern Harrier","Circus hudsonius",NA
"ACCIPITRIFORMES","Accipitridae","Bald Eagle","Haliaeetus leucocephalus",NA
"ACCIPITRIFORMES","Accipitridae","Mississippi Kite","Ictinia mississippiensis","Rare/Accidental"
"ACCIPITRIFORMES","Accipitridae","Broad-winged Hawk","Buteo platypterus","Rare/Accidental"
"ACCIPITRIFORMES","Accipitridae","Red-shouldered Hawk","Buteo lineatus","Rare/Accidental"
"ACCIPITRIFORMES","Accipitridae","Swainson's Hawk","Buteo swainsoni",NA
"ACCIPITRIFORMES","Accipitridae","Red-tailed Hawk","Buteo jamaicensis",NA
"ACCIPITRIFORMES","Accipitridae","Rough-legged Hawk","Buteo lagopus",NA
"ACCIPITRIFORMES","Accipitridae","Ferruginous Hawk","Buteo regalis","Rare/Accidental"
"STRIGIFORMES","Tytonidae","American Barn Owl","Tyto furcata",NA
"STRIGIFORMES","Strigidae","Flammulated Owl","Psiloscops flammeolus",NA
"STRIGIFORMES","Strigidae","Western Screech-Owl","Megascops kennicottii",NA
"STRIGIFORMES","Strigidae","Snowy Owl","Bubo scandiacus","Vulnerable"
"STRIGIFORMES","Strigidae","Great Horned Owl","Bubo virginianus",NA
"STRIGIFORMES","Strigidae","Northern Hawk Owl","Surnia ulula",NA
"STRIGIFORMES","Strigidae","Northern Pygmy-Owl","Glaucidium gnoma",NA
"STRIGIFORMES","Strigidae","Burrowing Owl","Athene cunicularia","Rare/Accidental"
"STRIGIFORMES","Strigidae","Spotted Owl","Strix occidentalis","Rare/Accidental Near-threatened"
"STRIGIFORMES","Strigidae","Barred Owl","Strix varia",NA
"STRIGIFORMES","Strigidae","Great Gray Owl","Strix nebulosa",NA
"STRIGIFORMES","Strigidae","Long-eared Owl","Asio otus",NA
"STRIGIFORMES","Strigidae","Short-eared Owl","Asio flammeus",NA
"STRIGIFORMES","Strigidae","Boreal Owl","Aegolius funereus",NA
